book_id,title,author,image-url,download-url,rating
120,C for Dummies,Dan Gookin,https://libgen.li/editioncovers/3471000/3471711.jpg,https://libgen.li/get.php?md5=374bf1097133aa8ade1920c7320bc9ec&key=Q4QDCNWHTPNIYXLC,3.4
121,Harry Potter and the Sorcerer's Stone," J K Rowling, Joanne Kathleen",https://libgen.li/fictionruscovers/229000/9792d136f5a621ae917ecbe7ec588993.jpg,https://libgen.li/get.php?md5=9792d136f5a621ae917ecbe7ec588993&key=TY2GH98YPOKBRLT0,4.2
122,Harry Potter & the Chamber of Secrets,J K Rowling,https://libgen.li/fictioncovers/5939000/47371bbbb9ece871b54e745157d2ba1c.jpg,https://libgen.li/get.php?md5=47371bbbb9ece871b54e745157d2ba1c&key=NG3Y0KR4CBMEQHPS,4.3
123,Harry Potter & the Prisoner of Azkaban,J K Rowling,https://libgen.li/fictioncovers/5939000/0b365158610a7a2f376728af52ddfcfa.jpg,https://libgen.li/get.php?md5=0b365158610a7a2f376728af52ddfcfa&key=WKFH7JQ9MYMTCTHJ,4.1
124,Harry Potter and the Goblet of Fire,J K Rowling,https://libgen.li/fictioncovers/6100000/08fc25ad42c8b7d408bd74bba74d118e.jpg,https://libgen.li/get.php?md5=08fc25ad42c8b7d408bd74bba74d118e&key=FEH8SIE082WS4YSZ,3.8
125,Harry Potter & the Order of the Phoenix,J K Rowling,https://libgen.li/fictioncovers/5939000/d5eeec6d51743f56fd0f8df202ec91e4.jpg,https://libgen.li/get.php?md5=d5eeec6d51743f56fd0f8df202ec91e4&key=DMMJUG93BJSWPYOO,3.5
126,Harry Potter & the Half-Blood Prince,J K Rowling,https://libgen.li/fictioncovers/5939000/5d8aaf21862ae3f251cd4116bd53c700.jpg,https://libgen.li/get.php?md5=5d8aaf21862ae3f251cd4116bd53c700&key=HPZZY4USTHT0SLUE,3.9
127,The Fellowship of the Ring,Nicholas Sparks,https://libgen.li/fictioncovers/5724000/5c221a95c429ed2052efd808208b489a.jpg,https://libgen.li/get.php?md5=5c221a95c429ed2052efd808208b489a&key=S0QAS5HGXJ1Q0L0P,4.2
128,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King","Tolkien, J. R. R.",https://libgen.li/fictioncovers/6934000/8d66f86e349f5de1e033ac8712edca3d.jpg,https://libgen.li/get.php?md5=8d66f86e349f5de1e033ac8712edca3d&key=P7L5MC3NB5J8NPMZ,4.2
129,The Return of the King,"Tolkein, J.R.R.",https://libgen.li/fictioncovers/4322000/e166d1cc7bcfc82f3315d692a6f76743.jpg,https://libgen.li/get.php?md5=e166d1cc7bcfc82f3315d692a6f76743&key=OSZDPUA2HYB73T0I,4.5
130,The Hobbit,"Tolkien, J. R. R.",https://libgen.li/covers/4417000/4d13858e4d31594c1fb7014a2f2277d1.jpg,https://libgen.li/get.php?md5=4d13858e4d31594c1fb7014a2f2277d1&key=7Y9OBSG5JTTA4N28,4.1
131,The Silmarillion,"Tolkien, John R R",https://libgen.li/fictioncovers/3836000/0d672742156d2a2a7e7c9b2ab3599919.jpg,https://libgen.li/get.php?md5=0d672742156d2a2a7e7c9b2ab3599919&key=W7YYND6H7YGFUMTI,4.4
132,The Fall of Gondolin,"Tolkien, J.R.R",https://libgen.li/fictioncovers/2057000/9434b774bc0cf4a10ba3a90d719eb0dc.jpg,https://libgen.li/get.php?md5=9434b774bc0cf4a10ba3a90d719eb0dc&key=JHHR7DNLCBSAIHQF,4.1
133,Prelude to Foundation,Isaac Asimov,https://libgen.li/fictioncovers/2209000/23c59f8611a965e9d839fa9845f80479.jpg,https://libgen.li/get.php?md5=23c59f8611a965e9d839fa9845f80479&key=DGI8OG2TRI35EPVU,3.4
134,Forward the Foundation,Isaac Asimov,https://libgen.li/fictioncovers/2586000/a363c6391189fdb525c1a61e67d2dc23.jpg,https://libgen.li/get.php?md5=a363c6391189fdb525c1a61e67d2dc23&key=31LLYXSZKIXQB6B3,3.7
135,Foundation & Empire,Isaac Asimov,https://libgen.li/fictioncovers/5688000/c2e0ede5bed5d182d64e0e7ed20dd832.jpg,https://libgen.li/get.php?md5=c2e0ede5bed5d182d64e0e7ed20dd832&key=YLXFOW7J4OM1TYGB,3.9
136,Foundation and Earth,Isaac Asimov,https://libgen.li/fictioncovers/1940000/e017e6d8910fcd7f5acb4be1edbae2c8.jpg,https://libgen.li/get.php?md5=e017e6d8910fcd7f5acb4be1edbae2c8&key=KDILY89501UKG4IZ,4.1
137,Foundation's Edge,Isaac Asimov,https://libgen.li/fictioncovers/1940000/71b3949d0e3ebaddd5cdbdda7edc2d89.jpg,https://libgen.li/get.php?md5=71b3949d0e3ebaddd5cdbdda7edc2d89&key=OILY7DKNHQTM7Y2A,4.2
138,Caves of Steel,Isaac Asimov,https://libgen.li/covers/6117000/11e4dbb395b3dfe50af6a199375705c1.jpg,https://libgen.li/get.php?md5=11e4dbb395b3dfe50af6a199375705c1&key=HF7PBIK7B3XE3ALD,4.2
139,A Study in Scarlet,Sir Arthur Conan Doyle,https://libgen.li/fictionruscovers/148000/3f3ac5481f49c0ae9a081443173d31b8.jpg,https://libgen.li/get.php?md5=3f3ac5481f49c0ae9a081443173d31b8&key=564RKZ1HJ9QH6HIU,3.7
140,The Sign of the Four,Sir Arthur Conan Doyle,https://libgen.li/fictioncovers/7124000/dfbaee6c7009fd9c57f8069020217390.jpg,https://libgen.li/get.php?md5=dfbaee6c7009fd9c57f8069020217390&key=XDDTVKPTNE45IO2K,3.5
